iter	F1	Logloss
0	0.9999013793	0.4600737405
1	0.9999063761	0.310252223
2	0.9999113765	0.204628776
3	0.9999477522	0.1407087668
4	0.9999402525	0.1007423714
5	0.9999683757	0.06845249446
6	0.9999746254	0.04866588265
7	0.9999845001	0.036234636
8	0.999986625	0.02574067699
9	0.9999865	0.01917489994
10	0.9999853751	0.01365500247
11	0.9999856251	0.0101872837
12	0.9999855001	0.007976439258
13	0.9999855001	0.006559106869
14	0.99998475	0.005393862985
15	0.999984875	0.004231818317
16	0.99998575	0.003328490481
17	0.99998475	0.002746082381
18	0.999985	0.002163621368
19	0.999984875	0.001712929891
20	0.999984625	0.001421255863
21	0.999984875	0.001130708613
22	0.999985625	0.001030915815
23	0.999985625	0.0009393909703
24	0.999989	0.0008578855657
25	0.999989	0.0007191930258
26	0.999989125	0.0006305008635
27	0.999989125	0.0005766907637
28	0.999989125	0.0005288743597
29	0.99999225	0.0004855826901
30	0.999993625	0.0003994971222
31	0.999993625	0.0003830797597
32	0.999993625	0.0003411027112
33	0.999993625	0.000314329996
34	0.999993625	0.000290761362
35	0.999993875	0.0002687894689
36	0.999993875	0.0002580992685
37	0.999993625	0.000248248381
38	0.999993625	0.0002230849782
39	0.999993875	0.0002148442722
40	0.99999375	0.0001938417985
41	0.999994	0.0001810453886
42	0.999993875	0.0001635074563
43	0.999993875	0.000157994845
44	0.999993875	0.0001531978939
45	0.999993875	0.0001438252334
46	0.999993875	0.0001391519002
47	0.999993875	0.0001352104183
48	0.999993875	0.0001246395185
49	0.999993875	0.0001246257501
50	0.999993875	0.0001246119845
51	0.999993875	0.0001246051027
52	0.999993875	0.0001246051027
53	0.999993875	0.0001246051027
54	0.999993875	0.0001246051027
55	0.999993875	0.0001246051027
56	0.999993875	0.0001246051027
57	0.999993875	0.0001246051027
58	0.999993875	0.0001246051027
59	0.999993875	0.0001246051027
60	0.999993875	0.0001246051027
61	0.999993875	0.0001246051027
62	0.999993875	0.0001246051027
63	0.999993875	0.0001246051027
64	0.999993875	0.0001246051027
65	0.999993875	0.0001246051027
66	0.999993875	0.0001246051027
67	0.999993875	0.0001246051027
68	0.999993875	0.0001246051027
69	0.999993875	0.0001246051027
70	0.999993875	0.0001246051027
71	0.999993875	0.0001246051027
72	0.999993875	0.0001246051027
73	0.999993875	0.0001246051027
74	0.999993875	0.0001246051027
75	0.999993875	0.0001246051027
76	0.999993875	0.0001246051027
77	0.999993875	0.0001246051027
78	0.999993875	0.0001246051027
79	0.999993875	0.0001246051027
80	0.999993875	0.0001246051027
81	0.999993875	0.0001246051027
82	0.999993875	0.0001246051027
83	0.999993875	0.0001246051027
84	0.999993875	0.0001246051027
85	0.999993875	0.0001246051027
86	0.999993875	0.0001246051027
87	0.999993875	0.0001246051027
88	0.999993875	0.0001246051027
89	0.999993875	0.0001246051027
90	0.999993875	0.0001246051027
91	0.999993875	0.0001246051027
92	0.999993875	0.0001246051027
93	0.999993875	0.0001246051027
94	0.999993875	0.0001246051027
95	0.999993875	0.0001246051027
96	0.999993875	0.0001246051027
97	0.999993875	0.0001246051027
98	0.999993875	0.0001246051027
99	0.999993875	0.0001246051027
100	0.999993875	0.0001246051027
101	0.999993875	0.0001246051027
102	0.999993875	0.0001246051027
103	0.999993875	0.0001246051027
104	0.999993875	0.0001246051027
105	0.999993875	0.0001246051027
106	0.999993875	0.0001246051027
107	0.999993875	0.0001246051027
108	0.999993875	0.0001246051027
109	0.999993875	0.0001246051027
110	0.999993875	0.0001246051027
111	0.999993875	0.0001246051027
112	0.999993875	0.0001246051027
113	0.999993875	0.0001246051027
114	0.999993875	0.0001246051027
115	0.999993875	0.0001246051027
116	0.999993875	0.0001246051027
117	0.999993875	0.0001246051027
118	0.999993875	0.0001246051027
119	0.999993875	0.0001246051027
120	0.999993875	0.0001246051027
121	0.999993875	0.0001246051027
122	0.999993875	0.0001246051027
123	0.999993875	0.0001246051027
124	0.999993875	0.0001246051027
125	0.999993875	0.0001246051027
126	0.999993875	0.0001246051027
127	0.999993875	0.0001246051027
128	0.999993875	0.0001246051027
129	0.999993875	0.0001246051027
130	0.999993875	0.0001246051027
131	0.999993875	0.0001246051027
132	0.999993875	0.0001246051027
133	0.999993875	0.0001246051027
134	0.999993875	0.0001246051027
135	0.999993875	0.0001246051027
136	0.999993875	0.0001246051027
137	0.999993875	0.0001246051027
138	0.999993875	0.0001246051027
139	0.999993875	0.0001246051027
140	0.999993875	0.0001246051027
141	0.999993875	0.0001246051027
142	0.999993875	0.0001246051027
143	0.999993875	0.0001246051027
144	0.999993875	0.0001246051027
145	0.999993875	0.0001246051027
146	0.999993875	0.0001246051027
147	0.999993875	0.0001246051027
148	0.999993875	0.0001246051027
149	0.999993875	0.0001246051027
150	0.999993875	0.0001246051027
151	0.999993875	0.0001246051027
152	0.999993875	0.0001246051027
153	0.999993875	0.0001246051027
154	0.999993875	0.0001246051027
155	0.999993875	0.0001246051027
156	0.999993875	0.0001246051027
157	0.999993875	0.0001246051027
158	0.999993875	0.0001246051027
159	0.999993875	0.0001246051027
160	0.999993875	0.0001246051027
161	0.999993875	0.0001246051027
162	0.999993875	0.0001246051027
163	0.999993875	0.0001246051027
164	0.999993875	0.0001246051027
165	0.999993875	0.0001246051027
166	0.999993875	0.0001246051027
167	0.999993875	0.0001246051027
168	0.999993875	0.0001246051027
169	0.999993875	0.0001246051027
170	0.999993875	0.0001246051027
171	0.999993875	0.0001246051027
172	0.999993875	0.0001246051027
173	0.999993875	0.0001246051027
174	0.999993875	0.0001246051027
175	0.999993875	0.0001246051027
176	0.999993875	0.0001246051027
177	0.999993875	0.0001246051027
178	0.999993875	0.0001246051027
179	0.999993875	0.0001246051027
180	0.999993875	0.0001246051027
181	0.999993875	0.0001246051027
182	0.999993875	0.0001246051027
183	0.999993875	0.0001246051027
184	0.999993875	0.0001246051027
185	0.999993875	0.0001246051027
